"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,rockstar,"Post Malone/21 Savage",pop/rap,27,0.141,0.58,0.531,0.143,0.000127,6.631,0.0776,0.128,159.786,218320
2,"Low Life","Future/The Weeknd","hip hop/pop/pop rap/rap/southern hip hop/trap music",78,0.102,0.722,0.331,0.146,0.283,7.789,0.0725,0.337,143.974,313547
3,"One Man Can Change The World","Big Sean/Kanye West/John Legend","detroit hip hop/hip hop/pop/pop rap/rap/southern hip hop/trap music",9,0.278,0.677,0.578,0.111,0,6.685,0.203,0.775,158.101,254640
4,Starboy,"The Weeknd/Daft Punk","canadian pop/pop/rap",85,0.486,0.678,0.588,0.137,6.35E-6,7.015,0.276,0.141,186.005,230453
5,Acquainted,"The Weeknd","canadian pop/pop/rap",73,0.254,0.372,0.477,0.0844,0,9.838,0.0497,0.484,101.097,348853
6,Panda,Desiigner,"dwn trap/hip hop/pop/pop rap/rap/southern hip hop/trap music",73,0.246,0.72,0.748,0.369,0,5.522,0.393,0.0235,145.22,247867
7,Passionfruit,Drake,"canadian hip hop/canadian pop/hip hop/pop rap/rap",83,0.372,0.804,0.459,0.11,0.0862,11.556,0.039,0.304,111.963,298941
8,Loyal,"Chris Brown/Lil Wayne/Tyga","dance pop/pop/pop rap/r&b/rap",75,0.647,0.845,0.506,0.0879,1.03E-6,5.971,0.0409,0.0228,99.051,264947
9,"Take Care",Drake/Rihanna,"canadian hip hop/canadian pop/hip hop/pop rap/rap",73,0.299,0.629,0.515,0.0888,1.22E-5,10.358,0.265,0.0267,121.845,277387
10,"Often - Kygo Remix","The Weeknd/Kygo","canadian pop/pop/rap",67,0.408,0.523,0.491,0.331,0,9.876,0.0491,0.123,80.156,234400
11,"King of the Fall",XO,---,5,0.242,0.578,0.736,0.346,0,5.203,0.0495,0.11,78.076,302000
12,"Pass Dat",Jeremih,"dance pop/hip hop/indie r&b/pop/pop rap/r&b/rap/southern hip hop/trap music/urban contemporary",15,0.223,0.893,0.492,0.117,0.0308,4.881,0.0732,0.534,127.986,174240
13,Legend,Drake,"canadian hip hop/canadian pop/hip hop/pop rap/rap",74,0.297,0.715,0.561,0.0769,0,7.605,0.0721,0.024,100.076,241853
14,Energy,Drake,"canadian hip hop/canadian pop/hip hop/pop rap/rap",73,0.571,0.743,0.571,0.522,0,8.038,0.505,0.329,172.056,181933
15,"Up All Night","Drake/Nicki Minaj","canadian hip hop/canadian pop/hip hop/pop rap/rap",67,0.275,0.602,0.81,0.324,7.66E-6,4.653,0.286,0.0141,156.325,234333
16,"4 My Town (Play Ball)","Birdman/Drake/Lil Wayne","dirty south rap/gangster rap/hip hop/pop rap/rap/southern hip hop/trap music",45,0.511,0.461,0.624,0.303,0,6.909,0.278,0.0546,152.167,261267
17,"Cash Machine",DRAM,"hip hop/indie r&b/pop rap/rap/southern hip hop/trap music",60,0.699,0.745,0.669,0.154,0,3.613,0.129,0.522,143.164,181154
18,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan","deep trap/pop rap/rap/southern hip hop/trap music",64,0.885,0.728,0.62,0.342,0,7.533,0.0434,0.038,81.998,176675
19,"Where Ya At",Future/Drake,"hip hop/pop/pop rap/rap/southern hip hop/trap music",69,0.191,0.813,0.453,0.14,0,6.941,0.338,0.0933,161.997,208027
20,Dessert,Dawin,pop,60,0.742,0.865,0.732,0.0397,0,5.242,0.0436,0.069,97.019,210893
21,"F*ck Up Some Commas",Future,"hip hop/pop/pop rap/rap/southern hip hop/trap music",72,0.46,0.874,0.568,0.149,1.38E-5,5.896,0.224,0.0698,139.995,237400
22,"Back To Back",Drake,"canadian hip hop/canadian pop/hip hop/pop rap/rap",71,0.373,0.635,0.472,0.117,0,3.869,0.511,0.00898,174.008,170638
23,"Let's Get Lost - Bear//Face Remix","G-Eazy/Devon Baldwin/Bearface","hip hop/indie pop rap/pop/pop rap/rap",36,0.303,0.508,0.566,0.077,0.0064,9.265,0.0659,0.183,118.161,242202
24,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Ty Dolla $ign/The Weeknd/Wiz Khalifa/Mustard","hip hop/pop/pop rap/r&b/rap/trap music",78,0.211,0.805,0.33,0.105,0,8.712,0.1,0.22,121.97,242983
25,"Shell Shocked (feat. Kill The Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""","Juicy J/Wiz Khalifa/Ty Dolla $ign/Madsonik/Kill The Noise","crunk/dirty south rap/gangster rap/hip hop/memphis hip hop/pop rap/rap/southern hip hop/trap music",67,0.459,0.596,0.815,0.174,0,5.668,0.0755,0.0111,165.015,206567
26,"Beamer, Benz, Or Bentley","Lloyd Banks/Juelz Santana","dirty south rap/gangster rap/hardcore hip hop/hip hop/pop rap/rap/trap music",62,0.518,0.652,0.671,0.598,2.89E-5,5.376,0.315,0.00402,159.963,208387
27,"Never Give a Fxck","Rob Bailey & The Hustle Standard",---,46,0.575,0.682,0.697,0.349,2.99E-5,7.239,0.106,0.0344,119.975,248000
28,"Dark Shades","Birdman/Lil Wayne/Mack Maine","dirty south rap/gangster rap/hip hop/pop rap/rap/southern hip hop/trap music",38,0.613,0.648,0.869,0.392,1.08E-5,4.019,0.0954,0.000467,140.014,304267
29,"I Can Transform Ya","Chris Brown/Swizz Beatz/Lil Wayne","dance pop/pop/pop rap/r&b/rap",50,0.856,0.541,0.953,0.192,0,4.229,0.107,0.048,111.378,228640
30,MegaMan,"Lil Wayne","hip hop/pop rap/rap",58,0.335,0.504,0.856,0.256,0,5.024,0.286,0.0114,101.866,198280
31,DnF,Preme/Drake/Future,"canadian hip hop/pop rap/rap/southern hip hop/trap music/underground hip hop",61,0.55,0.707,0.599,0.31,0,7.053,0.305,0.0836,76.881,205387
32,"Thoughts from a Balcony","Mac Miller","hip hop/pop rap/rap",7,0.52,0.726,0.688,0.0948,0,6.554,0.271,0.211,116.469,188882
33,"Guts Over Fear",Eminem/Sia,"detroit hip hop/g funk/hip hop/rap",59,0.507,0.656,0.855,0.257,0,4.282,0.212,0.318,140.057,300387
34,"Don't Tell 'Em",Jeremih/YG,"dance pop/hip hop/indie r&b/pop/pop rap/r&b/rap/southern hip hop/trap music/urban contemporary",74,0.405,0.851,0.525,0.111,0,5.221,0.0874,0.421,97.988,266840
35,"Buy The World","Mike WiLL Made-It/Kendrick Lamar/Future/Lil Wayne","gangster rap/hip hop/pop/pop rap/rap/southern hip hop/trap music/underground hip hop",66,0.205,0.794,0.63,0.229,0.000614,6.109,0.103,0.0436,119.98,226693
