"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,Wav1,Terekke,"dub techno/float house/fluxwork/lo-fi house/mandible/microhouse/outsider house",49,0.161,0.118,0.112,0.101,0.902,25.741,0.0488,0.993,77.122,262359
2,"Love Is In The Air","Delroy Edwards","float house/fluxwork/lo-fi house/outsider house",35,0.437,0.732,0.822,0.0911,0.905,11.483,0.0844,0.62,120.153,203934
3,"A Sea Of Love","Huerco S.","art pop/dub techno/float house/fluxwork/fourth world/mandible/microhouse/outsider house/vaporwave",42,0.125,0.141,0.116,0.107,0.872,28.718,0.041,0.848,102.494,437907
4,"Liminal States",Patricia,"float house/fluxwork/lo-fi house/mandible/outsider house",42,0.372,0.666,0.766,0.0894,0.873,12.151,0.0377,0.498,114.938,303302
5,X22RME,Actress,"art pop/bass music/detroit techno/dub techno/electronic/escape room/experimental pop/float house/fluxwork/fourth world/future garage/hauntology/indie r&b/indietronica/intelligent dance music/mandible/microhouse/minimal techno/ninja/outsider house/techno/vaporwave/wonky",36,0.387,0.62,0.772,0.301,3.63E-5,11.355,0.0926,0.0247,126.002,304920
6,"Faith in Strangers","Andy Stott","ambient/art pop/bass music/chamber psych/chillwave/dark jazz/detroit techno/dub techno/electronic/escape room/experimental pop/float house/fluxwork/fourth world/future garage/indie r&b/indietronica/intelligent dance music/mandible/microhouse/minimal techno/outsider house/techno/vaporwave/wonky",48,0.164,0.657,0.692,0.11,0.894,10.121,0.0526,0.0286,136.995,389187
7,"Axumisia V S612",Legowelt,"acid house/chicago house/detroit techno/dub techno/electro/electroclash/float house/intelligent dance music/microhouse/minimal techno/outsider house/tech house/techno",33,0.45,0.432,0.865,0.27,0.862,7.207,0.276,0.032,198.008,290732
8,993,Blawan,"acid house/bass music/detroit techno/dub techno/electro/float house/fluxwork/future garage/mandible/microhouse/minimal dub/minimal tech house/minimal techno/outsider house/tech house/techno/uk garage",37,0.326,0.724,0.675,0.116,0.774,12.311,0.074,0.000125,129.968,363643
9,"Andreaen Sand Dunes",Drexciya,"acid house/chicago house/detroit techno/drill and bass/dub techno/electro/float house/fluxwork/intelligent dance music/microhouse/minimal techno/outsider house/techno",36,0.496,0.649,0.617,0.116,0.754,8.965,0.0628,0.00218,132.831,376680
10,Mercury,"Laurel Halo","ambient/art pop/bass music/chamber psych/chillwave/drone/escape room/experimental/experimental pop/fluxwork/fourth world/freak folk/gauze pop/grave wave/hauntology/indie r&b/intelligent dance music/mandible/microhouse/neo-psychedelic/noise pop/outsider house/vaporwave/witch house",34,0.115,0.403,0.326,0.123,0.9,15.732,0.0473,0.546,81.098,236564
