"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Bohemian Rhapsody - Remastered 2011",Queen,"glam rock/rock",43,0.224,0.414,0.404,0.3,0,9.928,0.0499,0.271,71.105,354320
2,"Sweet Child O' Mine","Guns N' Roses","glam metal/hard rock/rock",81,0.63,0.454,0.91,0.116,0.0988,7.766,0.0446,0.0852,125.116,354520
3,"Smells Like Teen Spirit",Nirvana,"alternative rock/grunge/permanent wave/post-grunge/rock",81,0.72,0.502,0.912,0.106,0.000173,4.556,0.0564,2.55E-5,116.761,301920
4,"Imagine - Remastered 2010","John Lennon","album rock/art rock/classic rock/folk rock/mellow gold/psychedelic rock/rock",77,0.169,0.547,0.257,0.0935,0.183,12.358,0.0252,0.907,75.752,187867
5,"You're the Voice","John Farnham","australian pop/australian rock",61,0.644,0.369,0.762,0.579,2.8E-5,8.993,0.0464,0.22,84.957,302107
6,"Stairway To Heaven","Led Zeppelin","album rock/classic rock/hard rock/rock",79,0.197,0.338,0.34,0.116,0.0032,12.049,0.0339,0.58,82.433,482830
7,"Purple Rain",Prince,funk/motown,76,0.189,0.367,0.452,0.689,0.00228,10.422,0.0307,0.0353,113.066,520787
8,"It's a Long Way to the Top (If You Wanna Rock 'N' Roll)",AC/DC,"album rock/australian rock/hard rock/rock",71,0.532,0.456,0.863,0.0553,0.0545,3.551,0.0894,0.133,135.966,301227
9,"Thriller - Single Version","Michael Jackson",pop,61,0.846,0.777,0.817,0.714,2.9E-5,5.64,0.0464,0.0902,118.407,312413
10,"(I Can't Get No) Satisfaction - Mono Version / Remastered 2002","The Rolling Stones","album rock/british invasion/classic rock/protopunk/rock",36,0.904,0.725,0.853,0.196,0.127,7.842,0.0353,0.0348,136.282,222813
11,"Dancing Queen",ABBA,"europop/swedish pop",36,0.754,0.543,0.87,0.792,0.000939,6.514,0.0428,0.358,100.804,230400
12,"Livin' On A Prayer","Bon Jovi","glam metal/rock",27,0.854,0.559,0.687,0.0896,3.59E-5,10.912,0.0311,0.0591,122.666,250307
13,"Friday on My Mind","The Easybeats","australian rock/bubblegum pop/classic garage rock/folk rock/freakbeat/merseybeat/protopunk/psychedelic rock",7,0.733,0.418,0.882,0.111,0.000678,9.083,0.0405,0.279,94.717,162107
14,"Like A Virgin",Madonna,"dance pop/pop/pop rock",72,0.971,0.773,0.656,0.0697,0.00323,10.88,0.0381,0.202,119.754,218627
15,"Good Vibrations - Remastered","The Beach Boys","brill building pop/folk rock/psychedelic rock/rock",70,0.385,0.396,0.473,0.109,0.000124,7.67,0.0345,0.326,133.449,219027
16,"Knockin' On Heaven's Door - Remastered","Bob Dylan","album rock/classic rock/folk/folk rock/folk-pop/mellow gold/rock/roots rock/singer-songwriter",71,0.229,0.513,0.396,0.11,0.177,13.061,0.0299,0.251,140.208,149880
17,"Hotel California - Remastered",Eagles,"album rock/classic rock/folk rock/heartland rock/mellow gold/rock/soft rock",83,0.609,0.579,0.508,0.0575,0.000494,9.484,0.027,0.00574,147.125,391376
18,"Careless Whisper","George Michael","dance rock/new wave pop/soft rock",68,0.8,0.583,0.545,0.133,0,11.698,0.0351,0.232,153.25,302600
19,"I Still Haven't Found What I'm Looking For - Remastered 2007",U2,"irish rock/permanent wave/rock",34,0.686,0.565,0.764,0.079,0.00488,9.43,0.0351,0.0139,100.891,277480
20,Respect,"Aretha Franklin","christmas/classic soul/jazz blues/memphis soul/soul/southern soul",74,0.965,0.805,0.558,0.0546,2.2E-5,5.226,0.041,0.164,114.95,147600
21,"I Will Always Love You","Whitney Houston","dance pop/pop/r&b/urban contemporary",76,0.108,0.306,0.214,0.0839,5.3E-6,12.518,0.0356,0.844,66.98,271093
22,"Somebody That I Used To Know - feat. Kimbra",Gotye/Kimbra,"australian alternative rock/australian pop",62,0.755,0.864,0.515,0.0947,7.92E-5,6.967,0.0367,0.571,129.048,244893
23,"Smoke On The Water - Remastered 2012","Deep Purple","album rock/art rock/blues-rock/classic rock/hard rock/metal/psychedelic rock/rock",73,0.805,0.598,0.676,0.112,0.225,9.211,0.0279,0.13,114.169,340742
24,"Better Be Home Soon","Crowded House","australian alternative rock/australian pop/australian rock/dance rock/mellow gold/permanent wave/pop rock/rock/soft rock",51,0.342,0.445,0.49,0.0964,1.47E-6,8.807,0.0264,0.301,93.61,188050
25,"Light My Fire - Remastered","The Doors","album rock/classic rock/piano rock/psychedelic rock/rock",46,0.502,0.407,0.565,0.105,0.000142,11.487,0.0322,0.361,125.096,430453
26,"Down Under","Men At Work","album rock/australian alternative rock/australian rock/dance rock/mellow gold/new romantic/new wave/new wave pop/rock/soft rock",76,0.891,0.746,0.79,0.0534,0.0261,4.7,0.0257,0.0485,107.231,220867
27,"Wonderwall - Remastered",Oasis,"britpop/madchester/permanent wave/rock",81,0.469,0.378,0.896,0.194,0,4.066,0.0407,0.000452,174.302,258773
28,"What's Going On","Marvin Gaye","classic soul/funk/motown/northern soul/quiet storm/soul",29,0.805,0.245,0.833,0.359,0,5.555,0.116,0.105,205.375,231271
29,"Khe Sanh","Cold Chisel","australian pop/australian rock",52,0.667,0.464,0.913,0.173,0,4.215,0.18,0.141,164.092,250670
30,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Bee Gees","disco/mellow gold/soft rock",23,0.955,0.706,0.563,0.152,0.00151,15.564,0.0342,0.0704,103.613,281667
31,"Single Ladies (Put a Ring on It)",Beyoncé,"dance pop/pop/post-teen pop/r&b",72,0.272,0.426,0.584,0.188,0,5.293,0.296,0.0383,193.437,193213
32,Wannabe,"Spice Girls","dance pop/europop/girl group/pop/pop rock",55,0.863,0.764,0.842,0.117,0,6.923,0.0326,0.0987,110.029,172720
33,Superstition,"Stevie Wonder","funk/motown/quiet storm/soul",22,0.872,0.609,0.657,0.071,0.00221,11.496,0.0695,0.0308,100.607,266160
34,"Can't Get You Out of My Head","Kylie Minogue","australian dance/australian pop/dance pop/electropop/eurodance/europop/new wave pop/pop/pop rock",54,0.964,0.766,0.563,0.115,0.683,7.516,0.0339,0.0263,126.007,230640
35,"Under The Bridge","Red Hot Chili Peppers","alternative rock/funk metal/permanent wave/post-grunge/rock",83,0.458,0.559,0.345,0.141,0.000105,13.496,0.0459,0.0576,84.581,264307
36,"You Took The Words Right Out of My Mouth (Hot Summer Night)","Meat Loaf","album rock/mellow gold/rock/soft rock",57,0.68,0.459,0.681,0.498,0,8.773,0.0794,0.254,125.02,304440
37,"Karma Chameleon","Culture Club","dance rock/disco/europop/mellow gold/new romantic/new wave/new wave pop/soft rock/synthpop",66,0.928,0.661,0.552,0.206,0,12.385,0.0337,0.214,92.056,252760
38,Angels,"Robbie Williams","dance pop/europop/pop",68,0.257,0.431,0.59,0.0981,1.11E-5,6.362,0.0284,0.163,150.193,265333
39,Rhiannon,"Fleetwood Mac","album rock/mellow gold/rock/soft rock",70,0.795,0.723,0.49,0.0923,0.0946,14.745,0.0296,0.111,129.012,252773
40,"Enter Sandman",Metallica,"alternative metal/hard rock/metal/rock/speed metal/thrash metal",38,0.604,0.577,0.828,0.0581,0.0114,8.691,0.0298,0.00213,123.257,331267
41,"Don't Be Cruel","Elvis Presley",christmas/rock-and-roll/rockabilly,64,0.844,0.697,0.55,0.0907,3.44E-5,11.496,0.18,0.856,84.802,122893
42,"Need You Tonight",INXS,"australian alternative rock/australian rock/dance rock/mellow gold/new romantic/new wave/new wave pop/rock/soft rock",64,0.785,0.795,0.63,0.0894,0.575,7.217,0.0841,0.0419,108.701,181107
43,"Space Oddity - 2015 Remastered Version","David Bowie","art rock/dance rock/glam rock/new wave/permanent wave/protopunk/rock",72,0.434,0.299,0.443,0.177,0.000138,12.621,0.0346,0.0748,139.539,318813
44,"Last Goodbye","Jeff Buckley","folk-pop/melancholia/permanent wave/rock/singer-songwriter",57,0.495,0.492,0.845,0.209,0.00121,5.686,0.0442,0.0297,86.988,275493
