"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Need U (100%) - Radio Edit","Duke Dumont/A*M*E","dance pop/deep groove house/destroy techno/disco house/edm/electro house/house/pop/progressive house/tropical house",37,0.443,0.669,0.845,0.437,0.00325,5.139,0.0546,0.00173,123.942,173687
2,"Once Around The Block","Badly Drawn Boy","britpop/chamber pop/folk-pop/melancholia",41,0.873,0.503,0.71,0.124,0.0113,8.372,0.0429,0.692,168.123,224573
3,"Unwind Yourself","Marva Whitney","deep funk",31,0.838,0.832,0.458,0.284,0.0015,9.07,0.218,0.115,128.696,158027
4,"In The Wee Small Hours Of The Morning","Johnny Hartman","adult standards/bebop/cabaret/christmas/cool jazz/jazz/lounge/vocal jazz",23,0.187,0.34,0.0599,0.106,0.00572,20.855,0.0384,0.971,80.719,165326
5,Visions,"The Breathing Effect",---,16,0.27,0.468,0.47,0.396,0.518,11.421,0.0265,0.193,146.172,429859
6,"What Lays Beyond","Alex Mercado Trio/Scott Colley/Antonio Sánchez",---,12,0.488,0.473,0.324,0.272,0.851,13.737,0.0371,0.693,161.72,484987
7,"Ridin Round","Kali Uchis","colombian pop/indie r&b/pop",54,0.96,0.823,0.788,0.0826,2.96E-5,5.888,0.0522,0.0073,119.981,276500
8,"Forever (Pt. II)","Snakehips/Kaleem Taylor","dance pop/edm/electropop/indie poptimism/indie r&b/pop/post-teen pop/tropical house",47,0.786,0.516,0.808,0.31,0,6.326,0.124,0.000767,94.946,235240
9,Lumen,"Throwing Snow","bass music/future garage/microhouse/substep/wonky",33,0.117,0.514,0.829,0.219,0.664,7.833,0.0465,0.011,125.002,308908
10,"Chamber Of Reflection","Mac DeMarco","edmonton indie",48,0.535,0.539,0.555,0.1,0.918,8.659,0.0714,0.28,131.213,231720
11,Moonshiner,"Kevin Morby","art pop/chamber pop/chamber psych/folk-pop/freak folk/funk/indie folk/indie pop/indie rock/modern rock/neo-psychedelic/new americana/preverb/roots rock/slow core/stomp and holler",23,0.715,0.544,0.734,0.0885,0.00131,5.987,0.0346,0.308,114.877,289573
