"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Summertime (Canson Remix)","Pupkulies & Rebecca/Canson","deep euro house/deep melodic euro house",0,0.68,0.777,0.549,0.0893,0.743,-14.602,0.0404,0.381,118.015,374640
2,"Burning Boats (Guti Remix)","Pupkulies & Rebecca/Guti","deep euro house/deep melodic euro house",0,0.624,0.761,0.463,0.0879,0.38,-16.105,0.0695,0.147,124.998,300093
3,"Save Me (Sebo & Madmotormiquel Remix)","Pupkulies & Rebecca/Sebo/Madmotormiquel","deep euro house/deep melodic euro house",0,0.677,0.88,0.395,0.0806,0.815,-14.365,0.0609,0.0151,123.019,414760
4,"Pink Pillow (DJ Tennis Remix)","Pupkulies & Rebecca/DJ Tennis","deep euro house/deep melodic euro house",0,0.0365,0.743,0.546,0.0843,0.922,-17.957,0.0417,0.127,122.003,451160
5,"Fou De Toi (Aaron Ahrends Remix)","Pupkulies & Rebecca/Aaron Ahrends","deep euro house/deep melodic euro house",0,0.138,0.784,0.462,0.0822,0.499,-11.674,0.0571,0.0149,118.015,315147
6,"Ton Chauffeur (Mollono.Bass & Seth Schwarz Remix)","Pupkulies & Rebecca/Mollono.Bass/Seth Schwarz","deep euro house/deep melodic euro house",3,0.359,0.763,0.476,0.11,0.797,-10.316,0.104,0.00657,120.013,338053
7,"Juvinal (Phonique Remix)","Pupkulies & Rebecca/Phonique","deep euro house/deep melodic euro house",0,0.698,0.912,0.525,0.044,0.758,-12.188,0.0954,0.000467,119.994,377960
8,"You and Me (Mees Dierdorp Remix)","Pupkulies & Rebecca/Mees Dierdorp","deep euro house/deep melodic euro house",0,0.551,0.717,0.492,0.11,0.882,-11.644,0.0339,0.667,122.005,383773
9,"Saude (Acid Pauli & Nu Remix)","Pupkulies & Rebecca/Acid Pauli/Nu","deep euro house/deep melodic euro house",0,0.345,0.848,0.307,0.12,0.871,-15.531,0.072,0.0726,113.145,619613
10,"Tema d'amore","Nico Motte",---,9,0.441,0.624,0.497,0.281,0.86,-15.901,0.0295,0.0724,109.984,249661
11,"Life Goes on If You Are Lucky","Nico Motte",---,12,0.528,0.651,0.53,0.0428,0.889,-12.742,0.0923,0.00234,140.026,164583
12,I.C.A.,"Nico Motte",---,7,0.377,0.68,0.794,0.0913,0.865,-14.968,0.0549,8.71E-5,116.17,413129
13,"Tiger for Breakfast","Nico Motte",---,5,0.0783,0.452,0.428,0.345,0.823,-17.308,0.0432,0.712,119.939,352200
14,"La figure de Rey","Nico Motte",---,5,0.318,0.64,0.422,0.0762,0.873,-15.569,0.0332,0.201,115.018,279011
15,Tacotac,"Nico Motte",---,7,0.761,0.764,0.481,0.126,0.888,-12.512,0.0737,0.00445,170.062,222169
