"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Pieces of Infinity","Steven Goldmund",---,65,0.0708,0.158,0.0417,0.105,0.692,-25.128,0.0437,0.818,133.181,204810
2,Simplicity,Astron,focus,67,0.0384,0.232,0.226,0.198,0.931,-18.846,0.0388,0.963,78.588,156000
3,"Man In The Moon","Wilma Harrods",---,71,0.472,0.439,0.0535,0.11,0.96,-21.144,0.0746,0.991,69.682,152959
4,"All Was Quiet","Alaskan Tapes","compositional ambient/focus",65,0.0279,0.353,0.122,0.106,0.924,-22.281,0.0425,0.953,124.004,279987
5,Suaimhneas,Ceilidh,focus,73,0.0732,0.217,0.141,0.111,0.835,-19.913,0.0369,0.968,117.029,211212
6,"In and Out of Dreams",chillchild,---,65,0.0344,0.197,0.0971,0.105,0.654,-22.423,0.0465,0.935,67.689,147004
7,"Floating, Always","Primer Dia",---,70,0.0917,0.0658,0.0649,0.111,0.969,-23.744,0.0434,0.963,71.654,184231
8,"Radiant City","Robin Guthrie/Harold Budd","ambient/dream pop/drone/fourth world/shoegaze",65,0.0359,0.223,0.0828,0.0828,0.828,-24.326,0.0563,0.99,129.825,293480
9,"Now Is The Time To Leave","August Wilhelmsson",focus,70,0.048,0.2,0.0449,0.102,0.915,-20.741,0.0428,0.988,72.278,128000
10,"Somewhere In Between","August Wilhelmsson",focus,71,0.0386,0.156,0.138,0.0983,0.953,-19.958,0.0362,0.984,68.062,151512
11,"Maybe They Will Sing for Us Tomorrow",Hammock,"ambient/compositional ambient/focus/post-rock",65,0.0398,0.114,0.241,0.0501,0.916,-15.954,0.0462,0.685,77.945,308907
12,"Morning Hue","Deep Inside",focus,66,0.0387,0.257,0.00907,0.0948,0.953,-19.854,0.0404,0.995,67.096,125500
13,Blocks,Delawares,---,54,0.0698,0.143,0.155,0.0851,0.934,-16.944,0.037,0.599,140.778,173478
14,Dawning,LUCHS,focus,67,0.0396,0.213,0.122,0.184,0.852,-20.494,0.0327,0.36,140.145,139672
15,Fidelity,"Rannar Sillard",---,68,0.222,0.424,0.0573,0.115,0.88,-18.737,0.0335,0.968,99.063,111302
16,"At the Mercy of the Waves","Clem Leek","compositional ambient/focus/nu age",65,0.0542,0.207,0.387,0.751,0.97,-22.162,0.0825,0.96,136.692,299680
17,"Bells In The Wind","Bud Hollister",focus,66,0.545,0.516,0.00272,0.112,0.935,-21.946,0.038,0.981,69.979,170218
18,"This Delicate Place","Silver Maple",focus,67,0.203,0.602,0.0259,0.1,0.881,-25.665,0.0512,0.982,120.259,160949
19,"Sharp Feelings",Regendum,atmosphere,66,0.0564,0.216,0.0592,0.0964,0.891,-25.562,0.039,0.957,66.654,163989
20,"Zero Point (feat. Lyz Cooper)","Silence & Air/Lyz Cooper",---,64,0.0366,0.0809,0.0327,0.112,0.96,-34.209,0.0415,0.956,83.538,566178
21,"Talisman Stallion","Bela Nemeth",---,74,0.22,0.456,0.024,0.112,0.956,-22.89,0.0467,0.995,135.274,120549
22,"Olancha Farewell","Harold Budd","ambient/american contemporary classical/compositional ambient/fourth world/minimal",69,0.053,0.196,0.00687,0.106,0.917,-34.255,0.0442,0.992,72.125,138427
23,"Ella's Lullaby","Enno Aare",focus,73,0.071,0.35,0.0256,0.106,0.88,-22.589,0.0334,0.957,77.664,220385
24,Fantasazing,"Agatha Reilly",focus,69,0.0749,0.33,0.005,0.109,0.976,-34.638,0.0499,0.994,85.067,192353
25,Chalets,"Martin Gauffin",focus,67,0.0634,0.155,0.105,0.224,0.791,-21.307,0.0418,0.975,72.051,84480
26,Subtext,"John Foxx","ambient/art rock/dance rock/fourth world/laboratorio/new romantic/new wave/synthpop/uk post-punk",64,0.0441,0.109,0.00459,0.0796,0.89,-32.667,0.0338,0.989,70.122,359680
27,"Astral Therapy","Primer Dia",---,70,0.0389,0.239,0.0472,0.0802,0.935,-24.228,0.0562,0.949,69.666,137172
28,Comet,"Christopher Willits","ambient/compositional ambient/drift/warm drone",61,0.0357,0.169,0.154,0.0765,0.869,-24.453,0.0429,0.873,126.516,373000
29,"A Rising Sun","Alan Ellis",focus,69,0.0326,0.0962,0.0904,0.0921,0.731,-20.659,0.0418,0.745,87.609,208478
30,"River Flows In You - Original",Yiruma,"new age piano",76,0.0969,0.31,0.218,0.085,0.952,-21.398,0.0507,0.988,145.074,185527
31,Moments,"Deep Watch",focus,70,0.155,0.152,0.0315,0.11,0.775,-29.774,0.047,0.922,139.095,215756
32,"Avril 14th","Aphex Twin","acid techno/ambient/electronic/fourth world/intelligent dance music/trip hop",72,0.37,0.558,0.0259,0.0969,0.871,-30.016,0.0458,0.996,157.811,125520
33,Sway,"Józef Gatysik",---,71,0.24,0.353,0.017,0.108,0.892,-27.471,0.0516,0.993,101.389,162448
34,"Flight From The City","Jóhann Jóhannsson/Yuki Numata Resnick/Tarn Travers/Ben Russell/Clarice Jensen","bow pop/chamber pop/compositional ambient/focus/icelandic classical/nordic soundtrack/soundtrack",66,0.0375,0.13,0.086,0.108,0.912,-21.92,0.0373,0.932,90.223,391160
35,"Twinkling Star","Clark Ingram",---,69,0.0917,0.601,0.0557,0.111,0.956,-22.096,0.0412,0.992,69.938,170785
36,Ferrum,"Chihei Hatakeyama","ambient/compositional ambient/drift/drone/focus/fourth world/j-ambient/warm drone",63,0.0908,0.23,0.168,0.0967,0.906,-22.653,0.0481,0.988,135.059,973880
37,Drifter,"Alaskan Tapes","compositional ambient/focus",64,0.0456,0.274,0.224,0.405,0.911,-25.12,0.232,0.896,142.842,211307
38,"Þú ert jörðin","Ólafur Arnalds","bow pop/chamber pop/compositional ambient/focus/icelandic classical/neoclassical",53,0.038,0.121,0.0791,0.113,0.923,-21.275,0.0428,0.983,168.037,274355
39,"The Whispers","Harold Budd","ambient/american contemporary classical/compositional ambient/fourth world/minimal",68,0.117,0.228,0.00385,0.0858,0.917,-35.213,0.0449,0.995,141.201,163000
40,"Don't Bother They're Here","Stars Of The Lid","ambient/compositional ambient/drift/drone/focus/fourth world/post-rock/warm drone",66,0.0321,0.109,0.00822,0.129,0.885,-28.425,0.0529,0.942,75.629,610213
41,"The Girl Plays","Leonard Anderson",focus,67,0.134,0.385,0.0178,0.134,0.944,-25.191,0.0539,0.99,106.586,188411
42,"Stars - Remastered 2005","Brian Eno","ambient/art rock/compositional ambient/drone/fourth world/glam rock/minimal",64,0.0592,0.149,0.0271,0.0632,0.932,-33.771,0.0487,0.992,82.003,480280
43,"Floating, Floating","August Wilhelmsson",focus,71,0.0398,0.17,0.268,0.134,0.861,-17.808,0.0345,0.574,135.68,120000
44,"Foreshadowed - 2005 Digital Remaster","Harold Budd/Brian Eno","ambient/american contemporary classical/compositional ambient/fourth world/minimal",64,0.117,0.342,0.0314,0.0767,0.906,-25.319,0.0439,0.992,100.022,232440
45,"Girl Nap","Brian McBride","ambient/compositional ambient/drift/drone/focus/fourth world/warm drone",63,0.0328,0.0946,0.181,0.118,0.915,-20.99,0.0361,0.953,77.092,231213
46,"Signals - Remastered 2005","Brian Eno","ambient/art rock/compositional ambient/drone/fourth world/glam rock/minimal",64,0.0701,0.0672,0.0119,0.12,0.944,-41.808,0.0457,0.969,70.521,166560
47,"The Plateaux Of Mirror - 2004 Digital Remaster","Harold Budd/Brian Eno","ambient/american contemporary classical/compositional ambient/fourth world/minimal",63,0.0344,0.234,0.0138,0.106,0.83,-30.699,0.0487,0.988,91.085,253893
48,"Ocean's Embrace","August D. Valentine",---,63,0.0345,0.205,0.0857,0.373,0.993,-23.9,0.0559,0.987,62.996,218571
49,"Overture (For Other Halfs)","Brian McBride","ambient/compositional ambient/drift/drone/focus/fourth world/warm drone",69,0.0351,0.14,0.031,0.11,0.92,-28.007,0.0457,0.948,140.076,398120
50,Musicbox,"Amy Yeager",---,65,0.51,0.681,0.0808,0.115,0.957,-18.979,0.0653,0.983,79.998,148098
51,"Stop Everything! It's Snowing","Good Weather For An Airstrike","Genres not available",64,0.0396,0.173,0.014,0.0801,0.826,-20.717,0.042,0.961,89.776,238000
52,"Lizard Point - Remastered 2004","Brian Eno","Genres not available",63,0.0312,0.136,0.0108,0.147,0.813,-35.954,0.0343,0.897,88.529,274307
53,"The First Two Times","Jonatan Mollberg","Genres not available",63,0.497,0.553,0.0122,0.0806,0.948,-17.783,0.17,0.995,70.922,131808
54,"A Clearing - Remastered 2004","Brian Eno","Genres not available",63,0.0283,0.169,0.00154,0.0847,0.97,-32.367,0.0601,0.986,115.74,247947
55,"Looking For More","Alan Ellis","Genres not available",66,0.038,0.185,0.119,0.116,0.926,-20.45,0.0487,0.914,116.324,159425
56,"Oeillet En Delta","Marsen Jules","Genres not available",0,0.033,0.0619,0.00175,0.108,0.903,-27.746,0.0468,0.947,59.328,870013
57,"Drift - Remastered 2005","Brian Eno","Genres not available",63,0.0309,0.255,0.116,0.0792,0.894,-29.308,0.0437,0.884,69.339,189467
58,Elation,LUCHS,"Genres not available",64,0.0426,0.125,0.0666,0.0833,0.97,-23.064,0.0385,0.988,96.419,157625
59,"This Barren Land","Jasper TX","Genres not available",12,0.0815,0.0686,0.021,0.112,0.8,-28.012,0.0481,0.702,79.145,363400
