"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Body Talks","The Struts","glam rock/modern alternative rock/modern rock",67,0.62,0.59,0.859,0.398,0,3.227,0.164,0.0036,92.987,176634
2,"Let Me Live / Let Me Die","Des Rocs","modern alternative rock",69,0.237,0.51,0.759,0.077,0,4.854,0.101,0.034,91.123,207142
3,Despicable,grandson,"modern alternative rock/modern rock",67,0.367,0.576,0.782,0.467,0.00241,6.167,0.0346,0.0123,87.971,223893
4,"You're The One","Greta Van Fleet","modern blues rock/modern hard rock/rock",65,0.649,0.559,0.803,0.259,0.00228,5.727,0.0375,0.0148,151.995,266960
5,"Every Step That I Take (feat. Portugal The Man & Whethan)","Tom Morello/Portugal. The Man/Whethan",---,43,0.53,0.525,0.765,0.46,0,6.163,0.259,0.0115,140.233,222229
6,"My Blood","Twenty One Pilots","pop punk/rock",75,0.674,0.749,0.723,0.0977,0.022,6.609,0.0432,0.0563,108.999,229120
7,Pressure,Muse,"modern rock/permanent wave/piano rock/post-grunge/rock",75,0.755,0.618,0.834,0.0593,0.000181,3.692,0.0566,0.00364,136.033,235597
8,MANTRA,"Bring Me The Horizon","melodic metalcore/metalcore/pop punk/rap metal/rock/screamo",78,0.617,0.502,0.817,0.153,0,3.508,0.0447,0.000477,90.024,233298
9,"The Time Is Now",Atreyu,"alternative metal/groove metal/melodic metalcore/metalcore/nu metal/pop punk/post-grunge/rap metal/rap rock/screamo",66,0.396,0.481,0.944,0.278,0.000328,3.665,0.231,0.00926,165.02,199959
10,"Forever & Ever More","Nothing But Thieves","alternative pop rock/modern alternative rock/modern rock/rock",70,0.399,0.289,0.841,0.267,0.00771,4.33,0.146,0.00582,183.17,208134
11,"Make It Up As I Go (feat. K.Flay)","Mike Shinoda/K.Flay","alternative hip hop",67,0.576,0.538,0.728,0.161,0.0221,7.21,0.293,0.126,188.003,209707
12,"Machine Gun (F**k The NRA)",YUNGBLUD,"british indie rock/modern alternative rock",56,0.467,0.579,0.778,0.101,0,5.933,0.164,0.0158,166.006,193372
13,"Double Down",Slothrust,"brooklyn indie/indie punk/preverb",54,0.788,0.637,0.636,0.0706,0.00139,4.675,0.109,0.011,75.276,191432
14,"Lavender Bones","Stand Atlantic","anthem emo/pixie/pop emo",61,0.767,0.55,0.936,0.302,2.67E-6,2.876,0.078,0.000207,158.02,204253
