"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,Rigamortus,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",66,0.628,0.52,0.807,0.199,0.00257,-6.281,0.409,0.24,178.012,168591
2,"Hol' Up","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",60,0.577,0.607,0.869,0.137,0,-5.271,0.345,0.781,155.983,173158
3,A.D.H.D,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",72,0.582,0.609,0.799,0.108,0,-6.883,0.24,0.33,157.74,215509
4,HiiiPower,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",63,0.538,0.695,0.827,0.283,0,-5.742,0.282,0.179,81.024,279855
5,"Alien Girl (Today W/Her)","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",0,0.259,0.626,0.537,0.111,0.0835,-7.344,0.0367,0.502,95.948,239974
6,"Opposites Attract (Tomorrow W/O Her)","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",0,0.587,0.608,0.814,0.256,5.86E-6,-5.908,0.435,0.657,192.157,271909
7,"R.O.T.C (Interlude)","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",0,0.368,0.645,0.779,0.65,0,-7.265,0.316,0.324,98.405,163106
8,"Average Joe","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",0,0.218,0.74,0.733,0.184,0,-3.343,0.248,0.243,91.603,256048
9,"Bitch, Don’t Kill My Vibe","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",66,0.0985,0.587,0.698,0.442,0,-8.948,0.0943,0.0152,133.954,310720
10,"For Sale? - Interlude","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",58,0.276,0.301,0.686,0.121,0.000115,-8.36,0.0831,0.442,79.036,291720
11,"Backseat Freestyle","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",69,0.646,0.546,0.651,0.235,0,-7.601,0.3,0.000739,77.878,212653
12,"Money Trees","Kendrick Lamar/Jay Rock","conscious hip hop/hip hop/pop rap/rap/west coast rap",65,0.344,0.716,0.531,0.224,0,-7.355,0.122,0.0703,71.994,386907
13,"Poetic Justice","Kendrick Lamar/Drake","conscious hip hop/hip hop/pop rap/rap/west coast rap",69,0.647,0.779,0.572,0.246,0,-9.985,0.378,0.157,135.956,300160
14,"Blow My High (Members Only)","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",60,0.84,0.959,0.524,0.274,0,-8.145,0.274,0.316,119.933,215792
15,"Ab-Souls Outro","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",49,0.639,0.471,0.839,0.658,0,-6.852,0.379,0.116,115.79,350002
16,"King Kunta","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",76,0.489,0.884,0.657,0.154,0,-4.569,0.0977,0.00589,107.059,234693
17,"Swimming Pools (Drank) - Extended Version","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",55,0.26,0.716,0.485,0.604,2.69E-5,-7.745,0.404,0.123,74.132,313787
18,"untitled 05 | 09.21.2014.","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",56,0.413,0.488,0.63,0.163,0,-9.839,0.508,0.374,154.152,338427
19,"untitled 06 | 06.30.2014.","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",57,0.647,0.667,0.558,0.225,6.89E-6,-11.341,0.0433,0.0992,89.179,208013
20,"untitled 03 | 05.28.2013.","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",58,0.545,0.825,0.547,0.149,2.77E-6,-12.496,0.263,0.594,104.019,154347
21,"untitled 08 | 09.06.2014.","Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",59,0.667,0.843,0.527,0.137,1.89E-6,-9.661,0.211,0.242,119.987,235507
22,Alright,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",74,0.558,0.796,0.766,0.0827,0,-5.974,0.238,0.0742,110.034,219333
23,"LOVE. FEAT. ZACARI.","Kendrick Lamar/Zacari","conscious hip hop/hip hop/pop rap/rap/west coast rap",83,0.779,0.8,0.585,0.153,0,-7.343,0.0924,0.264,126.058,213400
24,DNA.,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",83,0.422,0.638,0.523,0.0842,0,-6.664,0.357,0.00454,139.913,185947
25,HUMBLE.,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",87,0.421,0.908,0.621,0.0958,5.39E-5,-6.638,0.102,0.000282,150.011,177000
26,ELEMENT.,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",75,0.483,0.748,0.705,0.246,0,-4.547,0.485,0.204,189.891,208733
27,GOD.,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",50,0.205,0.706,0.557,0.276,0,-5.8,0.0813,0.0347,132.98,248827
