"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Burn the House Down",AJR,"modern rock/pop",65,0.568,0.454,0.66,0.181,0,4.357,0.168,0.0364,184.353,212374
2,Natural,"Imagine Dragons","modern rock/rock/vegas indie",94,0.213,0.448,0.612,0.08,0,6.106,0.0708,0.216,97.773,189467
3,"High Hopes","Panic! At The Disco","emo/modern rock/pop punk/vegas indie",91,0.681,0.579,0.904,0.064,0,2.729,0.0618,0.193,82.014,190947
4,"She's Kerosene","The Interrupters","modern ska punk/punk/ska/ska punk/skate punk",65,0.899,0.577,0.936,0.413,1.74E-5,2.924,0.078,0.043,168.879,170453
5,"All My Friends","The Revivalists","modern alternative rock/modern rock",59,0.384,0.603,0.842,0.56,1.58E-6,4.677,0.0388,0.124,90.035,219200
6,"Guiding Light","Mumford & Sons","folk-pop/modern rock/neo mellow",76,0.281,0.554,0.667,0.0686,1.43E-5,9.343,0.0439,0.0632,100.017,217633
7,Kamikaze,"WALK THE MOON","indie pop/indie poptimism/indietronica/modern alternative rock/modern rock/pop rock",67,0.442,0.575,0.694,0.108,0,5.675,0.0709,0.0158,77.539,196533
8,"Body Talks (feat. Kesha)","The Struts/Kesha","glam rock/modern alternative rock/modern rock",63,0.848,0.537,0.919,0.342,0,3.439,0.262,0.00628,185.757,177162
9,Shotgun,"George Ezra",neo-singer-songwriter,92,0.754,0.672,0.735,0.242,0,4.733,0.0457,0.286,115.741,201287
10,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons","modern rock/rock/vegas indie",81,0.264,0.634,0.652,0.115,0.00139,7.49,0.0321,0.000448,90.012,210935
11,Jumpsuit,"Twenty One Pilots","pop punk/rock",65,0.232,0.619,0.628,0.206,0.207,8.307,0.038,0.00781,127.065,238568
12,"Nico And The Niners","Twenty One Pilots","pop punk/rock",65,0.362,0.731,0.595,0.248,8.67E-6,7.734,0.15,0.0588,140.072,227365
13,"Be Alright","Dean Lewis","australian pop/pop",95,0.443,0.553,0.586,0.0813,0,6.319,0.0362,0.697,126.684,196373
14,"Thru These Tears",LANY,pop,78,0.294,0.711,0.517,0.149,0,7.695,0.0391,0.154,119.945,204516
15,Paradise,"George Ezra",neo-singer-songwriter,30,0.913,0.642,0.881,0.21,0,3.537,0.0393,0.209,138.03,222045
16,Stronger,"The Score","modern alternative rock/modern rock",69,0.134,0.571,0.677,0.352,0,4.718,0.0373,0.0231,128.008,190000
17,"Next To Me","Imagine Dragons","modern rock/rock/vegas indie",39,0.351,0.385,0.687,0.0443,0.000163,4.426,0.0592,0.328,113.669,230289
18,"Humility (feat. George Benson)","Gorillaz/George Benson","alternative hip hop/art pop",64,0.784,0.632,0.807,0.125,0.0211,5.893,0.126,0.144,160.174,197933
19,"Hey Look Ma, I Made It","Panic! At The Disco","emo/modern rock/pop punk/vegas indie",77,0.58,0.577,0.833,0.121,0,3.337,0.0695,0.0137,107.936,169667
20,"Girls Go Wild",LP,"indie rock",63,0.795,0.711,0.868,0.0709,0.00426,4.363,0.046,0.0482,122.029,223427
21,"still feel.",half•alive,---,67,0.698,0.779,0.525,0.0675,0,5.756,0.0487,0.148,120.018,247438
22,"Say Amen (Saturday Night)","Panic! At The Disco","emo/modern rock/pop punk/vegas indie",61,0.602,0.491,0.867,0.458,0,2.313,0.103,0.167,167.965,189187
23,Connection,OneRepublic,"dance pop/neo mellow/piano rock/pop/pop quebecois/pop rap/pop rock",82,0.624,0.611,0.602,0.112,0,4.89,0.0437,0.000837,168.154,148460
24,Hunger,"Florence + The Machine","chamber pop/pop",67,0.332,0.729,0.675,0.0985,0,5.62,0.0415,0.53,116.016,214667
25,Africa,Weezer,"alternative rock/garage rock/modern rock/permanent wave/pop punk/pop rock/post-grunge/rock",72,0.633,0.5,0.77,0.104,0.00636,5.059,0.0432,0.238,92.223,238148
26,broken,lovelytheband,"indie poptimism/modern alternative rock/modern rock",45,0.44,0.667,0.716,0.0421,2.09E-6,5.693,0.0478,0.00236,122.976,204878
