"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Otra Como Tu","Eros Ramazzotti","italian pop/mexican pop",59,0.498,0.531,0.577,0.0896,1.28E-5,9.363,0.0315,0.117,177.67,281227
2,"Fuego en el Fuego","Eros Ramazzotti","italian pop/mexican pop",40,0.961,0.796,0.856,0.0912,0,3.851,0.0286,0.14,126.987,240893
3,"Amarte Es Total","Eros Ramazzotti","italian pop/mexican pop",43,0.184,0.527,0.447,0.078,0.000613,7.505,0.0291,0.116,126.343,269507
4,"A Medio Camino","Eros Ramazzotti","italian pop/mexican pop",34,0.37,0.699,0.41,0.105,0.00723,10,0.0348,0.0334,123.992,348080
5,"Y Me Rebello (E mi ribello)","Eros Ramazzotti","italian pop/mexican pop",25,0.208,0.633,0.25,0.0684,1.56E-5,15.731,0.0317,0.748,107.807,262293
6,"Amor En Contra","Eros Ramazzotti","italian pop/mexican pop",43,0.266,0.628,0.478,0.14,0,7.428,0.0273,0.276,125.778,265093
7,"Ok Ya Voy - Spanish Version of ""Ok Ci Sto""","Eros Ramazzotti","italian pop/mexican pop",16,0.605,0.7,0.593,0.0636,0,13.571,0.0365,0.46,146.168,236827
8,"Cosas De La Vida (Cose Della Vita)","Eros Ramazzotti","italian pop/mexican pop",59,0.492,0.622,0.629,0.264,0.000158,8.821,0.0276,0.0544,88.026,288987
9,"Completamente Enamorados","Eros Ramazzotti","italian pop/mexican pop",43,0.71,0.71,0.33,0.205,0,14.683,0.0373,0.525,136.766,251867
10,"Toma La Luna","Eros Ramazzotti","italian pop/mexican pop",43,0.893,0.878,0.544,0.0923,0.00043,10.425,0.0393,0.252,107.709,233067
11,"Recuerdos ""Memorie""","Eros Ramazzotti","italian pop/mexican pop",27,0.278,0.657,0.417,0.213,8.53E-6,11.782,0.0291,0.273,107.058,323827
12,"Un Fuerte No - Spanish Version Of ""Un Grosso No""","Eros Ramazzotti","italian pop/mexican pop",25,0.526,0.659,0.506,0.0994,0,9.893,0.0311,0.0335,116.032,339227
13,Fábula,"Eros Ramazzotti","italian pop/mexican pop",32,0.268,0.624,0.348,0.118,0,12.147,0.0276,0.113,160.033,277333
14,"Mi Amor Por Ti","Eros Ramazzotti","italian pop/mexican pop",14,0.6,0.683,0.91,0.259,0,4.706,0.0315,0.00912,124.944,254240
