"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"Us and Them","Pink Floyd","album rock/art rock/classic rock/progressive rock/psychedelic rock/rock/symphonic rock",67,0.126,0.356,0.302,0.634,0.546,-14.528,0.0346,0.863,72.623,469224
2,"Blue Sunday","The Doors","album rock/classic rock/piano rock/psychedelic rock/rock",52,0.133,0.447,0.319,0.0945,0.0385,-11.642,0.0283,0.592,73.868,130800
3,"Crash into Me","Dave Matthews Band","jam band/neo mellow/pop rock",68,0.555,0.541,0.677,0.0938,0.0191,-10.764,0.0373,0.122,101.1,316467
4,"Bohemian Rhapsody - Remastered 2011",Queen,"glam rock/rock",77,0.227,0.397,0.396,0.268,0,-9.91,0.05,0.254,142.913,354320
5,GOD.,"Kendrick Lamar","conscious hip hop/hip hop/pop rap/rap/west coast rap",50,0.205,0.706,0.557,0.276,0,-5.8,0.0813,0.0347,132.98,248827
6,"Such A Night","Dr. John","blues/blues-rock/classic rock/classic soul/deep funk/electric blues/folk rock/funk/jazz blues/louisiana blues/modern blues/new orleans blues/piano blues/psychedelic rock/roots rock/soul/traditional blues",50,0.786,0.829,0.248,0.0732,0,-16.94,0.169,0.531,121.444,177733
7,"Zum Wohl",Cluster,"acousmatic/ambient/art pop/art rock/canterbury scene/compositional ambient/drone/experimental/experimental rock/fourth world/free improvisation/industrial/krautrock/mandible/no wave/post-punk",0,0.171,0.548,0.238,0.0914,0.902,-18.95,0.0336,0.9,125.694,414173
8,"Born Under a Bad Sign","Jimi Hendrix","album rock/blues-rock/classic rock/hard rock/psychedelic rock/rock",50,0.766,0.462,0.471,0.0988,0.0474,-12.844,0.0451,0.278,154.468,457600
9,"Modern Love - 1999 Remastered Version","David Bowie","art rock/dance rock/glam rock/new wave/permanent wave/protopunk/rock",67,0.961,0.315,0.889,0.133,0.00241,-8.192,0.041,0.000376,181.329,288467
10,"Beast Of Burden - Remastered","The Rolling Stones","album rock/british invasion/classic rock/protopunk/rock",73,0.837,0.787,0.877,0.0387,0.00065,-3.822,0.032,0.387,100.61,265173
11,"I Feel It Coming","The Weeknd/Daft Punk","canadian pop/pop/rap",82,0.585,0.773,0.819,0.0679,0,-5.946,0.118,0.426,92.99,269187
12,"Ultralight Beam","Kanye West","pop rap/rap",3,0.348,0.591,0.398,0.539,0,-8.731,0.431,0.624,105.956,320680
13,"House Of Cards",Radiohead,"alternative rock/art rock/melancholia/modern rock/permanent wave/rock",62,0.637,0.71,0.496,0.101,0.581,-9.638,0.0297,0.278,111.662,328293
14,"Harvest Moon","Neil Young","album rock/classic canadian rock/classic rock/mellow gold/permanent wave/psychedelic rock/rock/roots rock/singer-songwriter",71,0.407,0.648,0.309,0.124,0.000249,-12.432,0.0264,0.526,112.929,303213
15,"LOVE. FEAT. ZACARI.","Kendrick Lamar/Zacari","conscious hip hop/hip hop/pop rap/rap/west coast rap",83,0.779,0.8,0.585,0.153,0,-7.343,0.0924,0.264,126.058,213400
16,"To Zion","Ms. Lauryn Hill/Carlos Santana","conscious hip hop/hip pop/indie r&b/neo soul/r&b/urban contemporary",11,0.516,0.41,0.601,0.112,0,-10.714,0.504,0.127,173.273,369293
17,"Dead Flowers - Remastered","The Rolling Stones","album rock/british invasion/classic rock/protopunk/rock",56,0.931,0.544,0.842,0.133,1.05E-5,-4.531,0.0285,0.347,130.352,244533
