"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
1,"The Chain - Remastered","Fleetwood Mac","album rock/mellow gold/rock/soft rock",67,0.637,0.522,0.755,0.0781,6.63E-5,6.95,0.0524,0.0517,151.796,269813
2,"Under The Bridge","Red Hot Chili Peppers","alternative rock/funk metal/permanent wave/post-grunge/rock",67,0.513,0.554,0.49,0.136,0.000534,8.046,0.0457,0.0168,84.275,265507
3,Peaches,"The Stranglers","art rock/britpop/dance rock/glam rock/new romantic/new wave/new wave pop/post-punk/protopunk/pub rock/punk/rock/ska/uk post-punk/zolo",40,0.961,0.566,0.577,0.0758,0.00896,9.719,0.0711,0.00866,71.328,247080
4,"Money - 2011 Remastered Version","Pink Floyd","album rock/art rock/classic rock/progressive rock/psychedelic rock/rock/symphonic rock",16,0.783,0.469,0.537,0.269,0.00201,10.421,0.152,0.0241,124.193,382834
5,"I Put A Spell On You","Creedence Clearwater Revival","album rock/classic rock/rock/roots rock/southern rock",4,0.653,0.395,0.743,0.0975,0.176,8.153,0.0301,0.00428,103.729,271787
6,"Brown Eyed Girl","Van Morrison","classic rock/folk/folk rock/folk-pop/mellow gold/rock/roots rock/singer-songwriter/soft rock",0,0.924,0.595,0.569,0.142,0,11.595,0.0382,0.191,74.456,186022
7,"Master Blaster (Jammin')","Stevie Wonder","funk/motown/quiet storm/soul",10,0.971,0.838,0.547,0.177,0.00059,11.015,0.0483,0.0617,131.112,307627
8,"Another One Bites The Dust - Remastered 2011",Queen,"glam rock/rock",80,0.754,0.933,0.528,0.163,0.312,6.472,0.161,0.112,109.967,214653
9,"Ramble On","Led Zeppelin","album rock/classic rock/hard rock/rock",71,0.886,0.468,0.607,0.225,0.000852,11.367,0.0336,0.072,98.429,263333
10,"Mustang Sally","Wilson Pickett","brill building pop/christmas/classic rock/classic soul/folk rock/funk/memphis soul/motown/rhythm and blues/rock-and-roll/rockabilly/soul/southern soul",59,0.688,0.725,0.327,0.214,0.326,17.714,0.0387,0.113,110.438,187760
11,"Seven Nation Army","The White Stripes","alternative rock/blues-rock/garage rock/indie rock/modern rock/permanent wave/punk blues/rock",81,0.303,0.745,0.466,0.272,0.35,7.62,0.0864,0.00666,123.889,231920
12,"Proud Mary","Tina Turner","disco/mellow gold/new wave pop/soft rock",54,0.367,0.397,0.499,0.111,1.55E-6,10.972,0.0685,0.0766,171.067,327400
13,Cocaine,"Eric Clapton","album rock/blues-rock/classic rock/electric blues/mellow gold/rock/soft rock",52,0.683,0.696,0.58,0.32,0.0212,9.716,0.0265,0.0744,105.172,218107
14,"Dancing In The Moonlight (It's Caught Me In It's Spotlight)","Thin Lizzy","album rock/art rock/blues-rock/classic rock/hard rock/metal/rock",11,0.903,0.664,0.606,0.0667,7.21E-6,9.026,0.234,0.0388,145.725,202800
15,"All Right Now",Free,"album rock/art rock/blues-rock/british blues/classic rock/electric blues/folk rock/hard rock/mellow gold/psychedelic rock/rock/southern rock/symphonic rock",30,0.743,0.766,0.446,0.318,0.000704,13.079,0.0867,0.25,119.774,332907
